ts,open,high,low,close,vol,turn
2025-05-30 23:45:00+00:00,13.863,13.94,13.858,13.882,51878.5,720590.4301
2025-05-31 00:00:00+00:00,13.882,13.925,13.728,13.767,254649.5,3531230.1538
2025-05-31 00:15:00+00:00,13.767,13.796,13.514,13.688,640897.3,8728395.1658
2025-05-31 00:30:00+00:00,13.688,13.92,13.687,13.882,114498.7,1581418.4199
2025-05-31 00:45:00+00:00,13.882,13.915,13.694,13.716,58847.9,811827.544
2025-05-31 01:00:00+00:00,13.716,13.774,13.615,13.746,204435.1,2799170.1337
2025-05-31 01:15:00+00:00,13.746,13.822,13.6,13.63,95070.7,1301295.6741
2025-05-31 01:30:00+00:00,13.63,13.693,13.445,13.685,471810.1,6406378.0109
2025-05-31 01:45:00+00:00,13.685,13.69,13.577,13.643,93508.9,1273459.7188
2025-05-31 02:00:00+00:00,13.643,13.755,13.551,13.743,128286.2,1751210.7805
2025-05-31 02:15:00+00:00,13.743,13.793,13.655,13.67,73017.0,1003727.8924
2025-05-31 02:30:00+00:00,13.67,13.674,13.574,13.578,61167.6,833463.2017
2025-05-31 02:45:00+00:00,13.578,13.606,13.519,13.547,55412.3,751672.5238
2025-05-31 03:00:00+00:00,13.547,13.596,13.42,13.471,175108.4,2359381.7687
2025-05-31 03:15:00+00:00,13.471,13.52,13.381,13.488,233227.9,3133418.4267
2025-05-31 03:30:00+00:00,13.488,13.525,13.413,13.516,91847.8,1236893.0251
2025-05-31 03:45:00+00:00,13.516,13.585,13.494,13.553,67901.6,919411.2508
2025-05-31 04:00:00+00:00,13.553,13.553,13.434,13.487,50143.9,676155.2812
2025-05-31 04:15:00+00:00,13.487,13.621,13.417,13.583,79836.6,1081996.978
2025-05-31 04:30:00+00:00,13.583,13.628,13.575,13.584,41763.4,568215.4697
2025-05-31 04:45:00+00:00,13.584,13.647,13.58,13.64,96852.4,1317948.112
2025-05-31 05:00:00+00:00,13.64,13.677,13.577,13.579,64886.4,884060.7284
2025-05-31 05:15:00+00:00,13.579,13.589,13.542,13.566,53797.4,729581.6556
2025-05-31 05:30:00+00:00,13.566,13.635,13.545,13.628,26807.1,364268.408
2025-05-31 05:45:00+00:00,13.628,13.628,13.516,13.518,86876.8,1177275.0701
2025-05-31 06:00:00+00:00,13.518,13.605,13.501,13.597,52254.0,707428.0968
2025-05-31 06:15:00+00:00,13.597,13.705,13.577,13.7,68517.0,935386.283
2025-05-31 06:30:00+00:00,13.7,13.742,13.661,13.72,122688.1,1682597.0826
2025-05-31 06:45:00+00:00,13.72,13.727,13.683,13.704,30077.5,412137.7987
2025-05-31 07:00:00+00:00,13.704,13.704,13.649,13.65,37456.6,512440.8788
2025-05-31 07:15:00+00:00,13.65,13.689,13.624,13.684,22770.2,310987.3784
2025-05-31 07:30:00+00:00,13.684,13.71,13.663,13.676,42118.7,576500.6674
2025-05-31 07:45:00+00:00,13.676,13.738,13.656,13.695,34227.6,468799.8373
2025-05-31 08:00:00+00:00,13.695,13.756,13.677,13.732,53717.3,736990.5993
2025-05-31 08:15:00+00:00,13.732,13.778,13.691,13.71,53241.8,731357.2574
2025-05-31 08:30:00+00:00,13.71,13.763,13.655,13.686,46527.4,637387.7846
2025-05-31 08:45:00+00:00,13.686,13.777,13.679,13.752,48079.1,660783.878
2025-05-31 09:00:00+00:00,13.752,13.808,13.745,13.783,48513.0,668653.7771
2025-05-31 09:15:00+00:00,13.783,13.812,13.694,13.716,50965.1,700630.3023
2025-05-31 09:30:00+00:00,13.716,13.778,13.71,13.757,34771.3,478009.0904
2025-05-31 09:45:00+00:00,13.757,13.772,13.717,13.758,46992.0,646128.7976
2025-05-31 10:00:00+00:00,13.758,13.884,13.739,13.845,94818.2,1308614.9237
2025-05-31 10:15:00+00:00,13.845,13.884,13.727,13.737,87922.7,1212770.586
2025-05-31 10:30:00+00:00,13.737,13.748,13.667,13.691,53799.4,737330.6667
2025-05-31 10:45:00+00:00,13.691,13.726,13.656,13.685,54514.8,746674.5571
2025-05-31 11:00:00+00:00,13.685,13.693,13.623,13.638,57045.3,778658.3056
2025-05-31 11:15:00+00:00,13.638,13.683,13.627,13.642,25977.7,354765.0778
2025-05-31 11:30:00+00:00,13.642,13.655,13.612,13.654,25379.3,346049.1052
2025-05-31 11:45:00+00:00,13.654,13.666,13.63,13.662,20582.8,280976.4002
2025-05-31 12:00:00+00:00,13.662,13.766,13.645,13.766,46424.6,636207.0381
2025-05-31 12:15:00+00:00,13.766,13.787,13.718,13.739,32241.6,443388.8399
2025-05-31 12:30:00+00:00,13.739,13.803,13.73,13.784,33729.4,464698.4348
2025-05-31 12:45:00+00:00,13.784,13.885,13.784,13.882,101405.7,1404362.691
2025-05-31 13:00:00+00:00,13.882,13.995,13.866,13.932,158485.3,2210881.6734
2025-05-31 13:15:00+00:00,13.932,13.968,13.858,13.863,99653.5,1385410.1184
2025-05-31 13:30:00+00:00,13.863,13.951,13.859,13.867,100605.5,1399665.7478
2025-05-31 13:45:00+00:00,13.867,13.875,13.811,13.855,57159.8,790890.1951
2025-05-31 14:00:00+00:00,13.855,13.942,13.842,13.923,57115.7,793935.8584
2025-05-31 14:15:00+00:00,13.923,13.957,13.887,13.905,54280.2,755437.4072
2025-05-31 14:30:00+00:00,13.905,13.936,13.886,13.927,27060.5,376461.8913
2025-05-31 14:45:00+00:00,13.927,13.937,13.889,13.918,50736.9,706046.5853
2025-05-31 15:00:00+00:00,13.918,13.944,13.886,13.899,49909.8,694322.0547
2025-05-31 15:15:00+00:00,13.899,13.996,13.895,13.985,145958.8,2036464.6178
2025-05-31 15:30:00+00:00,13.985,14.013,13.886,13.893,141561.0,1973488.8829
2025-05-31 15:45:00+00:00,13.893,13.916,13.85,13.871,41896.7,581358.4005
2025-05-31 16:00:00+00:00,13.871,13.948,13.829,13.919,142866.5,1984594.3045
2025-05-31 16:15:00+00:00,13.919,14.023,13.916,14.001,60061.5,839895.6181
2025-05-31 16:30:00+00:00,14.001,14.034,13.955,13.975,51888.4,726667.4232
2025-05-31 16:45:00+00:00,13.975,14.062,13.973,14.052,107089.8,1499773.7583
2025-05-31 17:00:00+00:00,14.052,14.064,14.009,14.062,43141.7,605592.6815
2025-05-31 17:15:00+00:00,14.062,14.087,14.037,14.055,51289.3,721225.4554
2025-05-31 17:30:00+00:00,14.055,14.093,14.029,14.052,68823.5,967764.0438
2025-05-31 17:45:00+00:00,14.052,14.057,13.954,13.978,131011.8,1832718.428
2025-05-31 18:00:00+00:00,13.978,14.047,13.968,14.042,55526.1,777650.1171
2025-05-31 18:15:00+00:00,14.042,14.088,14.031,14.068,27284.2,383312.8785
2025-05-31 18:30:00+00:00,14.068,14.095,14.047,14.057,41599.9,585504.8968
2025-05-31 18:45:00+00:00,14.057,14.092,14.044,14.082,49111.3,691263.6544
2025-05-31 19:00:00+00:00,14.082,14.167,14.082,14.14,138413.7,1956189.3453
2025-05-31 19:15:00+00:00,14.14,14.17,14.128,14.151,23279.1,329324.9266
2025-05-31 19:30:00+00:00,14.151,14.166,14.116,14.124,84822.5,1198366.7433
2025-05-31 19:45:00+00:00,14.124,14.14,14.103,14.117,38467.1,543188.4054
2025-05-31 20:00:00+00:00,14.117,14.117,14.058,14.069,28130.6,396328.8603
2025-05-31 20:15:00+00:00,14.069,14.104,14.062,14.094,16377.3,230688.4107
2025-05-31 20:30:00+00:00,14.094,14.098,14.078,14.082,14303.2,201512.4266
2025-05-31 20:45:00+00:00,14.082,14.118,14.074,14.118,20744.6,292570.875
2025-05-31 21:00:00+00:00,14.118,14.18,14.114,14.116,202375.8,2863460.8373
2025-05-31 21:15:00+00:00,14.116,14.135,14.087,14.12,46582.7,657299.2688
2025-05-31 21:30:00+00:00,14.12,14.166,14.116,14.147,130618.6,1847842.9847
2025-05-31 21:45:00+00:00,14.147,14.168,14.112,14.141,37051.5,524040.5043
2025-05-31 22:00:00+00:00,14.141,14.153,14.06,14.103,24484.5,345318.4444
2025-05-31 22:15:00+00:00,14.103,14.134,14.083,14.091,33987.7,479680.2261
2025-05-31 22:30:00+00:00,14.091,14.102,14.068,14.097,17361.3,244591.6501
2025-05-31 22:45:00+00:00,14.097,14.1,14.055,14.062,8770.7,123414.7855
2025-05-31 23:00:00+00:00,14.062,14.127,14.019,14.12,320834.0,4515477.3062
2025-05-31 23:15:00+00:00,14.12,14.143,14.0,14.019,615060.5,8647413.7098
2025-05-31 23:30:00+00:00,14.019,14.027,13.975,13.989,172486.8,2414657.2465
2025-05-31 23:45:00+00:00,13.989,13.991,13.94,13.958,243829.5,3404504.8141
2025-06-01 00:00:00+00:00,13.958,13.963,13.891,13.898,151445.2,2108972.4845
2025-06-01 00:15:00+00:00,13.898,13.905,13.861,13.875,171613.3,2382633.4742
2025-06-01 00:30:00+00:00,13.875,13.923,13.867,13.921,111485.9,1549413.4397
2025-06-01 00:45:00+00:00,13.921,13.928,13.88,13.914,54223.3,754282.9497
2025-06-01 01:00:00+00:00,13.914,13.953,13.875,13.946,71072.2,987762.5733
