symbol,entry_timestamp,exit_timestamp,side,entry_price,exit_price,pnl_pct,exit_reason,sl_price,tp_price,sl_what_if_hit_tp,sl_what_if_max_profit_pct,sl_what_if_max_loss_pct,params
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 20:39:00+00:00,LONG,141.84000,143.25840,0.00880,TP,141.13080,143.25840,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 20:42:00+00:00,2025-06-26 21:07:00+00:00,SHORT,143.74000,142.30260,0.00880,TP,144.45870,142.30260,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:12:00+00:00,2025-06-26 21:21:00+00:00,LONG,141.50000,140.79250,-0.00620,SL,140.79250,142.91500,False,0.00134,-0.02756,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:35:00+00:00,2025-06-26 22:54:00+00:00,LONG,139.74000,139.04130,-0.00620,SL,139.04130,141.13740,True,0.01696,-0.01531,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 03:50:00+00:00,SHORT,140.72000,141.42360,-0.00620,SL,141.42360,139.31280,False,0.00277,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 04:28:00+00:00,2025-06-27 07:19:00+00:00,SHORT,141.17000,141.87585,-0.00620,SL,141.87585,139.75830,False,0.00460,-0.00666,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:24:00+00:00,2025-06-25 07:26:00+00:00,SHORT,146.00000,147.02200,-0.00820,SL,147.02200,144.54000,True,0.02966,-0.01144,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:26:00+00:00,2025-06-25 15:31:00+00:00,SHORT,147.36000,145.88640,0.00880,TP,148.39152,145.88640,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:32:00+00:00,2025-06-26 02:19:00+00:00,LONG,143.67000,145.10670,0.00880,TP,142.66431,145.10670,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:19:00+00:00,2025-06-26 03:03:00+00:00,SHORT,145.70000,146.71990,-0.00820,SL,146.71990,144.24300,True,0.04269,-0.01352,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:03:00+00:00,2025-06-26 04:27:00+00:00,SHORT,146.74000,145.27260,0.00880,TP,147.76718,145.27260,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 20:39:00+00:00,LONG,141.84000,143.25840,0.00880,TP,140.84712,143.25840,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 20:42:00+00:00,2025-06-26 21:07:00+00:00,SHORT,143.74000,142.30260,0.00880,TP,144.74618,142.30260,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:12:00+00:00,2025-06-26 21:33:00+00:00,LONG,141.50000,140.50950,-0.00820,SL,140.50950,142.91500,False,0.00134,-0.02756,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:35:00+00:00,2025-06-26 23:08:00+00:00,LONG,139.74000,138.76182,-0.00820,SL,138.76182,141.13740,True,0.01696,-0.01531,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 07:14:00+00:00,SHORT,140.72000,141.70504,-0.00820,SL,141.70504,139.31280,False,0.00142,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:24:00+00:00,2025-06-25 07:20:00+00:00,SHORT,146.00000,146.43800,-0.00420,SL,146.43800,143.81000,True,0.01938,-0.01144,ema:10_rsi:14_fixed
